======================================================================
CAPTURA DE TRÁFEGO MTA
======================================================================

Servidor: 94.23.158.180
Porta MTA: 22003
IPv4 local: 192.168.18.2
Interface Scapy: \Device\NPF_{A53A13E5-54FE-4F67-8537-8D554F42DF25}
Tempo: 79.46 segundos
Pacotes: 10739
Motivo: gta_sa.exe foi encerrado

======================================================================
LISTA DE PACOTES
======================================================================

000143 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000144 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000145 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000146 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000147 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000148 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000149 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000150 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000151 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000152 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000153 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=  110 | payload=   68
000154 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000155 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000156 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000157 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   87 | payload=   45
000158 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000159 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000160 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=  858 | payload=  816
000161 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   63 | payload=   21
000162 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000163 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000164 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000165 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000166 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000167 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000168 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000169 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000170 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000171 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000172 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000173 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000174 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000175 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000176 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000177 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000178 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000179 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000180 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000181 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000182 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000183 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000184 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   87 | payload=   45
000185 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000186 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000187 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000188 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000189 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000190 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000191 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000192 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000193 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   63 | payload=   21
000194 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000195 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000196 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000197 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000198 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000199 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000200 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000201 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000202 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000203 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000204 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000205 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000206 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000207 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000208 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000209 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000210 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000211 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000212 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000213 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000214 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000215 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   87 | payload=   45
000216 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000217 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000218 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000219 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000220 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000221 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000222 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000223 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000224 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000225 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000226 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000227 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000228 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000229 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000230 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000231 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000232 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000233 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000234 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000235 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000236 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000237 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000238 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   68 | payload=   26
000239 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000240 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000241 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000242 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000243 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000244 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000245 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000246 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000247 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000248 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000249 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000250 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000251 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000252 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000253 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000254 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000255 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   87 | payload=   45
000256 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000257 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000258 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000259 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000260 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000261 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000262 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000263 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000264 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000265 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1209 | payload= 1167
000266 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000267 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1201 | payload= 1159
