
================================================================================
PREFIXOS DE 1 BYTE(S)
================================================================================
         1x  AD E2 60 D3
         1x  22 12 D0 D5
         1x  FE D3 83 C7
         1x  26 69 6B 2F
         1x  F3 BA 82 4F
         1x  FB 03 C4 1C
         1x  E3 48 63 D5
         1x  8E 76 25 B2
         1x  53 9E 30 6E
         1x  70 7B 55 83
         1x  75 65 B7 4B
         1x  B6 3E 78 7D
         1x  1D CA 32 FE
         1x  79 CD 35 5F
         1x  CA 0B 3B 58
         1x  70 A1 9F 33
         1x  B0 D7 A1 DE
         1x  B4 95 F8 C6
         1x  41 95 22 9B
         1x  EA CD AC 40

================================================================================
PREFIXOS DE 6 BYTE(S)
================================================================================
         2x  C1 A1 DD 7F 0D F3
         2x  CB 56 D8 77 98 EF
         2x  48 54 54 50 2F 31
         1x  09 04 D1 99 38 07
         1x  45 59 45 32 04 6D
         1x  0A 00 FF 00 FF FE
         1x  60 59 29 9C E5 24
         1x  09 A9 23 AC D6 E6
         1x  16 03 01 01 AC 01
         1x  78 A2 20 F0 A6 53
         1x  F2 CA 3A 25 C5 F5
         1x  A0 EC BE B3 38 DC
         1x  80 4D 95 FC 44 C6
         1x  CE 19 84 3F 5C 6A
         1x  47 E3 E1 34 3A 76
         1x  D4 5F 6C 5D 13 4B
         1x  8D E2 AE B0 EB 59
         1x  FC 86 42 8C 49 FA
         1x  98 7A D3 3D D5 5D
         1x  9F 6B D6 4B D3 35
         1x  5C EB AE 5D A3 19
         1x  BB B5 DD 93 7D 0C
         1x  B5 4B 92 98 3E 97
         1x  DE C2 52 8E B9 03
         1x  08 C9 A9 99 DD 26
         1x  5D 55 90 82 BD E3
         1x  4C EF 2D 6D 61 B3
         1x  75 9D 49 B2 20 02
         1x  4C CE F1 EB 2D 50
         1x  56 75 FE D3 41 F2
         1x  C2 E3 F1 8B D5 6F
         1x  F7 31 9B FF 61 EF
         1x  B1 96 22 4D 73 59
         1x  A8 07 BB 65 7E 06
         1x  AD CF F4 19 51 10
         1x  FA 7B E9 82 C3 BD
         1x  C0 1A 68 35 CC E1
         1x  31 B0 EB D3 1E F4
         1x  F7 C2 BF 81 8F 85
         1x  2C E9 B3 33 27 20
         1x  5B D0 A6 DD 4B C0
         1x  56 AF DB 58 18 EC
         1x  75 44 02 D4 81 24
         1x  51 CC 3C 63 BC A7
         1x  08 AE 87 6C 03 68
         1x  3A 14 B7 B1 12 7C
