=== CORRELAÇÃO S2C -> C2S ===

   C2S #000113 len=17 dt=0.36ms 98 6C 3B 0A 68 99 2D 27 19 9A A5 B8 59 DE 7F 0F
   C2S #000115 len=25 dt=6.11ms 5F 15 13 96 B4 AD 54 1D 7D E6 E1 96 41 DA 13 A6
   C2S #000116 len=55 dt=18.01ms 66 21 0D 28 EC 34 5E 9E C3 99 D7 53 67 74 0E 0E
   C2S #000119 len=17 dt=88.22ms E5 1D 89 50 47 5A 8C 67 4F 5A F7 1D 33 DF AC 68
   C2S #000120 len=55 dt=112.74ms 97 0C 0A 97 2F 11 5A CF E6 72 70 75 F1 44 01 71
   C2S #000123 len=17 dt=130.06ms 55 8A 1C CD 07 9E 1D B2 06 04 3A BC F4 9C B9 7C
   C2S #000124 len=45 dt=143.42ms B6 2B DB 12 A3 D3 DE FA 5C 4A 9E 3E 70 FD 77 22
   C2S #000126 len=17 dt=167.41ms 35 22 AE FF AA 17 2F 59 35 BC 66 F5 09 57 5F DA
   C2S #000128 len=17 dt=206.66ms A3 A5 32 91 DC 01 8D D1 FF E2 80 F2 7D F4 59 5E
   C2S #000130 len=55 dt=214.95ms 08 E0 20 A8 1D 6C 57 5E E2 59 73 EF 5D 28 6C 9B

S2C #000118 len=1165 -> respostas:
   C2S #000119 len=17 dt=0.12ms E5 1D 89 50 47 5A 8C 67 4F 5A F7 1D 33 DF AC 68
   C2S #000120 len=55 dt=24.64ms 97 0C 0A 97 2F 11 5A CF E6 72 70 75 F1 44 01 71
   C2S #000123 len=17 dt=41.97ms 55 8A 1C CD 07 9E 1D B2 06 04 3A BC F4 9C B9 7C
   C2S #000124 len=45 dt=55.33ms B6 2B DB 12 A3 D3 DE FA 5C 4A 9E 3E 70 FD 77 22
   C2S #000126 len=17 dt=79.31ms 35 22 AE FF AA 17 2F 59 35 BC 66 F5 09 57 5F DA
   C2S #000128 len=17 dt=118.56ms A3 A5 32 91 DC 01 8D D1 FF E2 80 F2 7D F4 59 5E
   C2S #000130 len=55 dt=126.85ms 08 E0 20 A8 1D 6C 57 5E E2 59 73 EF 5D 28 6C 9B
   C2S #000133 len=17 dt=159.37ms E0 91 9A 5B BC FE C6 99 77 AB 0F CE C8 45 53 A3
   C2S #000135 len=17 dt=202.79ms 98 DF 50 3D BF F7 30 8C AD 61 36 EC 66 7B 94 4F
   C2S #000136 len=55 dt=226.50ms B5 61 EE E4 43 5A FC 8A EB 63 6A 68 17 D9 6A 1E

S2C #000122 len=1165 -> respostas:
   C2S #000123 len=17 dt=0.54ms 55 8A 1C CD 07 9E 1D B2 06 04 3A BC F4 9C B9 7C
   C2S #000124 len=45 dt=13.90ms B6 2B DB 12 A3 D3 DE FA 5C 4A 9E 3E 70 FD 77 22
   C2S #000126 len=17 dt=37.89ms 35 22 AE FF AA 17 2F 59 35 BC 66 F5 09 57 5F DA
   C2S #000128 len=17 dt=77.13ms A3 A5 32 91 DC 01 8D D1 FF E2 80 F2 7D F4 59 5E
